Rank,Corporation,Stock ticker,Revenue $ millions,Profit $ millions,Employees,Headquarters,Industry,Revenue ($mn) per Employee,Profit ($mn) per Employee,Profit margins (Profit / Revenue) (in %),Revenue Share(%)
1,Royal Dutch Shell,RDS.A,272156.0,1939.0,90000.0,"Shell Centre, London, UK, and The Hague, Netherlands",Energy,3.0239555555555557,0.021544444444444446,0.7124590308499537,16.52862246094011
2,Volkswagen,VLKAY,236600.0,-1520.0,610076.0,"Wolfsburg, Germany",Motor Vehicles & Parts,0.3878205338351287,-0.002491492863184259,-0.6424344885883347,14.369229685395252
3,BP PLC,BP.L,183000.0,4100.0,74500.0,"London, UK",Energy,2.4563758389261743,0.05503355704697987,2.2404371584699456,11.113985766810359
4,Daimler,DDAIY,165800.0,9345.0,284015.0,"Stuttgart, Germany",Motor Vehicles & Parts,0.5837719838740911,0.03290319173283101,5.636308805790109,10.069392569055506
5,EXOR Group,EXOSF,152591.0,825.0,303247.0,"Turin, Italy",Financials,0.5031904684959785,0.002720554531454557,0.5406609826267604,9.267181432477374
6,Total,TOT,143421.0,5087.0,96019.0,"Paris, France",Energy,1.4936731271935764,0.052979097886876554,3.5469003841836275,8.710267500883653
7,E.ON,EONGY,129277.0,-7764.0,56490.0,"Essen, Germany",Energy,2.288493538679412,-0.13744025491237388,-6.005708672076239,7.851271792218266
8,AXA,AXAHY,129250.0,6231.0,98279.0,"Paris, France",Financials,1.3151334466162659,0.06340113350766695,4.820889748549323,7.849632023826442
9,Allianz,AZSEY,122948.0,7339.0,142459.0,"Munich, Germany",Financials,0.863041296092209,0.05151657669926084,5.969190226762533,7.466897934742077
10,BNP Paribas,BNPQY,111531.0,7426.0,181551.0,"Paris, France",Financials,0.614323248012955,0.04090310711590683,6.658238516645596,6.773518833650963
